Fruit Type,Fruit Waste (kg),Method,C:N Ratio,Time to Manure (weeks),Finished Manure (kg)
tomato,25,Composting,22.22,8.5,18.36
tomato,30,Composting,22.81,8.3,20.95
tomato,35,Composting,22.92,8.6,27.73
tomato,40,Composting,21.92,9.1,32.05
tomato,5,Vermiculture,21.4,4.9,2.64
tomato,10,Vermiculture,22.89,5.4,6.6
tomato,15,Vermiculture,22.8,5.3,8.92
tomato,20,Vermiculture,23.03,4.9,13.53
tomato,25,Vermiculture,22.17,5.7,15.78
tomato,30,Vermiculture,21.95,5.2,18.84
tomato,35,Vermiculture,20.94,4.9,18.4
tomato,40,Vermiculture,23.09,5.1,25.64
papaya,5,Composting,24.14,14.9,3.67
papaya,10,Composting,24.65,14.7,6.35
papaya,15,Composting,23.8,14.7,10.94
papaya,20,Composting,25.8,12.7,11.23
papaya,25,Composting,24.1,12.6,14.82
papaya,30,Composting,24.25,14.4,20.71
papaya,35,Composting,23.94,13.3,21.74
papaya,40,Composting,24.05,13.5,23.05
papaya,5,Vermiculture,25.62,9.6,2.47
papaya,10,Vermiculture,24.98,8.8,4.84
papaya,15,Vermiculture,25.05,9.1,8.96
papaya,20,Vermiculture,24.62,8.7,9.43
papaya,25,Vermiculture,25.19,10.1,15.23
papaya,30,Vermiculture,24.33,8.7,17.38
papaya,35,Vermiculture,24.05,9.9,18.16
papaya,40,Vermiculture,24.28,9.4,20.81
plum,5,Composting,26.85,10.9,2.57
plum,10,Composting,27.83,10.9,6.54
plum,15,Composting,28.0,11.1,8.17
plum,20,Composting,26.71,10.0,10.8
plum,25,Composting,27.9,9.7,14.77
plum,30,Composting,27.74,9.6,20.18
plum,35,Composting,28.64,11.4,20.04
plum,40,Composting,28.38,10.9,25.63
plum,5,Vermiculture,28.62,6.8,2.87
plum,10,Vermiculture,26.89,7.8,4.8
plum,15,Vermiculture,28.08,7.6,8.95
plum,20,Vermiculture,28.12,7.6,11.37
plum,25,Vermiculture,27.95,7.1,14.82
plum,30,Vermiculture,28.12,7.7,16.25
plum,35,Vermiculture,28.78,7.6,15.7
plum,40,Vermiculture,27.58,6.9,18.56
banana,5,Composting,30.58,9.5,3.26
banana,10,Composting,30.17,10.6,6.39
banana,15,Composting,30.36,9.6,10.1
banana,20,Composting,30.51,9.9,13.02
banana,25,Composting,30.57,9.6,17.49
banana,30,Composting,28.63,10.2,17.37
banana,35,Composting,31.08,10.5,23.73
banana,40,Composting,29.47,11.2,26.64
banana,5,Vermiculture,30.36,6.8,2.45
banana,10,Vermiculture,29.69,6.6,5.72
banana,15,Vermiculture,28.99,6.0,8.44
banana,20,Vermiculture,29.27,6.6,10.12
banana,25,Vermiculture,28.79,6.7,12.25
banana,30,Vermiculture,30.79,5.8,14.97
banana,35,Vermiculture,29.43,6.9,16.56
banana,40,Vermiculture,29.06,6.3,18.88
apple,5,Composting,27.15,12.4,3.05
apple,10,Composting,26.62,12.4,6.17
apple,15,Composting,29.1,11.6,8.46
apple,20,Composting,26.76,12.0,12.33
apple,25,Composting,28.61,12.8,14.72
apple,30,Composting,27.51,13.6,17.07
apple,35,Composting,28.02,13.1,19.46
apple,40,Composting,28.24,11.6,26.68
apple,5,Vermiculture,29.37,8.1,2.38
apple,10,Vermiculture,29.02,8.3,4.85
apple,15,Vermiculture,26.64,7.6,6.47
apple,20,Vermiculture,28.9,7.7,10.0
apple,25,Vermiculture,29.14,8.0,10.74
apple,30,Vermiculture,29.31,7.8,15.25
apple,35,Vermiculture,27.82,8.6,15.65
apple,40,Vermiculture,26.79,8.8,18.95
litchi,5,Composting,25.37,15.4,2.64
litchi,10,Composting,25.21,15.5,6.01
litchi,15,Composting,23.75,14.8,10.4
litchi,20,Composting,24.51,15.4,11.25
litchi,25,Composting,24.52,14.9,17.75
litchi,30,Composting,25.84,13.8,17.77
litchi,35,Composting,24.96,13.8,22.5
litchi,40,Composting,25.79,13.8,24.72
litchi,5,Vermiculture,24.31,8.8,2.81
litchi,10,Vermiculture,25.52,9.6,5.33
litchi,15,Vermiculture,24.55,9.7,7.74
litchi,20,Vermiculture,24.77,8.8,9.34
litchi,25,Vermiculture,25.39,9.8,12.04
litchi,30,Vermiculture,24.29,10.1,14.7
litchi,35,Vermiculture,24.35,9.2,18.94
litchi,40,Vermiculture,24.2,9.9,18.61
mango,5,Composting,25.96,18.2,3.15
mango,10,Composting,25.74,16.7,5.36
mango,15,Composting,26.63,16.2,8.46
mango,20,Composting,27.06,18.4,11.82
mango,25,Composting,25.62,15.3,14.42
mango,30,Composting,25.86,18.4,18.19
mango,35,Composting,25.64,18.1,18.55
mango,40,Composting,25.0,16.5,20.21
mango,5,Vermiculture,25.87,11.4,2.35
mango,10,Vermiculture,25.22,13.1,5.63
mango,15,Vermiculture,25.61,13.5,8.33
mango,20,Vermiculture,26.5,12.5,10.55
mango,25,Vermiculture,26.65,11.8,12.34
mango,30,Vermiculture,26.38,12.9,16.75
mango,35,Vermiculture,24.98,13.6,19.33
mango,40,Vermiculture,26.67,11.6,20.58
grapes,5,Composting,26.63,10.1,3.11
grapes,10,Composting,27.33,9.3,6.47
grapes,15,Composting,25.94,9.8,10.22
grapes,20,Composting,27.15,9.4,14.26
grapes,25,Composting,27.05,10.0,15.5
grapes,30,Composting,28.32,10.1,18.04
grapes,35,Composting,27.2,9.4,19.29
grapes,40,Composting,26.16,9.9,27.93
grapes,5,Vermiculture,26.01,7.3,2.5
grapes,10,Vermiculture,26.71,7.8,5.26
grapes,15,Vermiculture,27.38,7.4,7.11
grapes,20,Vermiculture,27.83,7.4,11.84
grapes,25,Vermiculture,26.54,7.4,13.74
grapes,30,Vermiculture,28.04,7.4,16.84
grapes,35,Vermiculture,25.87,7.2,19.94
grapes,40,Vermiculture,27.87,6.9,19.54
lemon,5,Composting,24.51,10.7,3.15
lemon,10,Composting,22.8,11.7,5.93
lemon,15,Composting,24.95,10.6,8.93
lemon,20,Composting,24.16,11.0,12.48
lemon,25,Composting,24.79,11.6,14.83
lemon,30,Composting,24.32,11.7,21.21
lemon,35,Composting,24.19,11.5,21.29
lemon,40,Composting,25.15,11.4,26.1
lemon,5,Vermiculture,23.02,8.4,2.69
lemon,10,Vermiculture,23.76,9.1,4.48
lemon,15,Vermiculture,24.11,7.8,7.93
lemon,20,Vermiculture,24.32,8.5,8.97
lemon,25,Vermiculture,24.49,7.6,11.7
lemon,30,Vermiculture,23.15,9.1,16.86
lemon,35,Vermiculture,24.0,8.0,20.53
lemon,40,Vermiculture,22.95,8.6,22.62
jackfruit,5,Composting,32.4,17.7,2.72
jackfruit,10,Composting,32.65,18.9,5.69
jackfruit,15,Composting,32.88,18.5,8.87
jackfruit,20,Composting,33.18,19.8,10.33
jackfruit,25,Composting,30.87,19.3,13.86
jackfruit,30,Composting,33.3,17.4,17.22
jackfruit,35,Composting,33.53,18.5,19.63
jackfruit,40,Composting,31.14,18.4,21.81
jackfruit,5,Vermiculture,32.99,14.7,2.35
jackfruit,10,Vermiculture,30.9,14.0,4.33
jackfruit,15,Vermiculture,33.24,15.9,6.79
jackfruit,20,Vermiculture,32.65,15.3,9.19
jackfruit,25,Vermiculture,30.77,13.9,10.73
jackfruit,30,Vermiculture,31.83,15.2,14.83
jackfruit,35,Vermiculture,31.08,14.4,18.76
jackfruit,40,Vermiculture,31.54,15.3,20.21
tomato,5,Composting,22.81,8.3,3.49
tomato,10,Composting,22.58,8.8,7.31
tomato,15,Composting,21.6,8.3,10.27
tomato,20,Composting,22.95,8.5,13.91
tomato,25,Composting,22.7,8.6,16.93
tomato,30,Composting,21.27,8.8,23.59
tomato,35,Composting,21.99,8.9,27.24
tomato,40,Composting,22.83,8.3,31.17
tomato,5,Vermiculture,22.06,5.3,2.96
tomato,10,Vermiculture,21.29,4.9,5.46
tomato,15,Vermiculture,22.83,5.1,8.55
tomato,20,Vermiculture,22.84,5.1,10.69
tomato,25,Vermiculture,21.93,4.9,16.03
tomato,30,Vermiculture,22.62,4.8,16.53
tomato,35,Vermiculture,21.32,5.4,19.01
tomato,40,Vermiculture,21.78,4.9,24.42
papaya,5,Composting,25.75,13.4,3.64
papaya,10,Composting,25.98,13.6,6.77
papaya,15,Composting,25.03,14.6,8.77
papaya,20,Composting,25.76,13.3,13.47
papaya,25,Composting,25.52,12.7,14.52
papaya,30,Composting,26.16,14.0,17.96
papaya,35,Composting,25.76,13.6,26.24
papaya,40,Composting,24.66,14.4,23.85
papaya,5,Vermiculture,25.58,10.0,3.15
papaya,10,Vermiculture,26.09,10.0,5.43
papaya,15,Vermiculture,24.87,9.9,9.04
papaya,20,Vermiculture,26.14,8.6,9.48
papaya,25,Vermiculture,25.49,10.3,11.72
papaya,30,Vermiculture,24.91,9.2,14.34
papaya,35,Vermiculture,25.02,9.7,19.59
papaya,40,Vermiculture,24.59,9.7,23.94
plum,5,Composting,28.23,10.4,3.05
plum,10,Composting,27.0,10.6,6.83
plum,15,Composting,28.07,9.9,10.0
plum,20,Composting,26.77,10.3,12.69
plum,25,Composting,29.12,11.2,16.21
plum,30,Composting,28.14,10.5,18.24
plum,35,Composting,29.22,10.8,19.27
plum,40,Composting,27.12,11.2,27.23
plum,5,Vermiculture,28.53,6.8,2.57
plum,10,Vermiculture,27.22,7.5,4.53
plum,15,Vermiculture,29.34,7.5,7.5
plum,20,Vermiculture,28.08,7.2,9.87
plum,25,Vermiculture,26.98,6.9,12.5
plum,30,Vermiculture,28.08,7.2,15.19
plum,35,Vermiculture,28.54,6.9,19.05
plum,40,Vermiculture,27.35,7.3,21.15
banana,5,Composting,29.83,9.9,2.96
banana,10,Composting,28.59,10.3,6.37
banana,15,Composting,30.54,11.0,11.06
banana,20,Composting,31.15,9.7,14.52
banana,25,Composting,31.48,10.0,16.65
banana,30,Composting,29.7,10.2,19.12
banana,35,Composting,29.55,10.3,21.52
banana,40,Composting,28.96,10.7,24.1
banana,5,Vermiculture,29.88,6.4,2.66
banana,10,Vermiculture,30.05,5.8,5.84
banana,15,Vermiculture,30.78,6.4,7.78
banana,20,Vermiculture,29.78,5.8,11.12
banana,25,Vermiculture,28.94,6.0,14.4
banana,30,Vermiculture,29.12,6.0,15.6
banana,35,Vermiculture,30.75,6.1,20.47
banana,40,Vermiculture,28.59,6.0,22.97
apple,5,Composting,28.49,12.8,2.71
apple,10,Composting,28.15,11.8,5.8
apple,15,Composting,26.79,11.4,9.46
apple,20,Composting,28.93,13.7,11.97
apple,25,Composting,28.34,11.7,15.48
apple,30,Composting,29.21,13.4,16.47
apple,35,Composting,27.98,13.7,19.69
apple,40,Composting,27.65,12.3,26.8
apple,5,Vermiculture,29.03,8.9,2.26
apple,10,Vermiculture,28.03,8.5,4.73
apple,15,Vermiculture,27.51,8.9,7.28
apple,20,Vermiculture,27.83,8.7,8.87
apple,25,Vermiculture,27.8,8.0,11.82
apple,30,Vermiculture,28.6,9.0,15.67
apple,35,Vermiculture,28.98,8.3,15.53
apple,40,Vermiculture,28.2,7.7,21.84
litchi,5,Composting,24.38,16.1,3.44
litchi,10,Composting,25.49,13.7,6.85
litchi,15,Composting,24.28,15.1,9.33
litchi,20,Composting,23.95,15.5,10.85
litchi,25,Composting,25.31,15.3,16.84
litchi,30,Composting,24.06,14.4,17.06
litchi,35,Composting,26.01,13.5,23.17
litchi,40,Composting,24.25,14.2,25.05
litchi,5,Vermiculture,24.01,10.1,2.57
litchi,10,Vermiculture,25.55,8.8,5.72
litchi,15,Vermiculture,24.8,10.0,7.99
litchi,20,Vermiculture,24.69,8.8,10.13
litchi,25,Vermiculture,24.03,10.3,12.11
litchi,30,Vermiculture,24.44,8.6,16.42
litchi,35,Vermiculture,25.56,9.5,19.3
litchi,40,Vermiculture,24.43,9.4,21.17
mango,5,Composting,26.21,16.6,2.62
mango,10,Composting,26.23,17.8,5.77
mango,15,Composting,25.54,16.8,9.34
mango,20,Composting,26.13,17.4,12.77
mango,25,Composting,25.44,16.1,16.46
mango,30,Composting,25.95,18.3,17.81
mango,35,Composting,27.0,16.5,21.77
mango,40,Composting,27.17,18.3,24.05
mango,5,Vermiculture,27.06,12.5,2.83
mango,10,Vermiculture,27.2,12.3,5.28
mango,15,Vermiculture,25.35,11.7,7.53
mango,20,Vermiculture,25.23,11.5,9.75
mango,25,Vermiculture,25.74,13.2,13.88
mango,30,Vermiculture,25.81,12.9,15.44
mango,35,Vermiculture,26.83,12.8,15.85
mango,40,Vermiculture,26.1,13.4,20.46
grapes,5,Composting,25.89,9.9,3.06
grapes,10,Composting,27.07,10.3,6.86
grapes,15,Composting,26.06,10.3,8.51
grapes,20,Composting,26.81,8.6,13.37
grapes,25,Composting,28.32,10.3,15.05
grapes,30,Composting,25.91,8.6,20.62
grapes,35,Composting,28.0,8.7,20.4
grapes,40,Composting,26.47,8.8,27.25
grapes,5,Vermiculture,26.11,6.9,2.57
grapes,10,Vermiculture,27.66,7.2,6.16
grapes,15,Vermiculture,27.78,7.6,7.98
grapes,20,Vermiculture,25.92,7.7,11.75
grapes,25,Vermiculture,28.33,7.0,11.65
grapes,30,Vermiculture,28.25,7.9,17.29
grapes,35,Vermiculture,28.14,7.0,20.6
grapes,40,Vermiculture,28.3,7.9,21.27
lemon,5,Composting,22.91,11.1,3.27
lemon,10,Composting,25.1,12.6,5.56
lemon,15,Composting,23.36,11.3,8.81
lemon,20,Composting,23.19,11.0,12.66
lemon,25,Composting,24.59,12.4,17.65
lemon,30,Composting,23.55,11.7,17.74
lemon,35,Composting,24.27,10.9,23.01
lemon,40,Composting,24.9,11.3,28.23
lemon,5,Vermiculture,24.3,8.5,2.59
lemon,10,Vermiculture,24.12,8.6,4.83
lemon,15,Vermiculture,24.48,9.1,7.99
lemon,20,Vermiculture,24.73,7.8,9.49
lemon,25,Vermiculture,24.12,8.0,14.15
lemon,30,Vermiculture,23.45,8.8,14.15
lemon,35,Vermiculture,23.05,7.8,18.29
lemon,40,Vermiculture,25.08,9.0,18.31
jackfruit,5,Composting,31.07,20.5,2.91
jackfruit,10,Composting,30.86,19.6,5.97
jackfruit,15,Composting,32.18,19.4,7.21
jackfruit,20,Composting,31.24,19.0,12.12
jackfruit,25,Composting,32.47,19.0,15.02
jackfruit,30,Composting,32.83,18.3,15.48
jackfruit,35,Composting,31.61,18.4,17.85
jackfruit,40,Composting,31.22,19.1,21.71
jackfruit,5,Vermiculture,32.31,14.8,2.17
jackfruit,10,Vermiculture,31.77,14.1,4.38
jackfruit,15,Vermiculture,31.19,16.0,6.62
jackfruit,20,Vermiculture,31.82,13.9,9.56
jackfruit,25,Vermiculture,32.55,15.1,11.6
jackfruit,30,Vermiculture,32.72,14.9,15.84
jackfruit,35,Vermiculture,33.56,15.3,20.09
jackfruit,40,Vermiculture,33.58,14.1,22.91
tomato,5,Composting,22.74,9.2,3.57
tomato,10,Composting,22.09,7.6,6.98
tomato,15,Composting,22.3,8.1,11.8
tomato,20,Composting,21.11,7.9,15.16
tomato,25,Composting,21.82,8.6,19.97
tomato,30,Composting,21.42,7.8,22.47
tomato,35,Composting,21.22,7.8,28.03
tomato,40,Composting,22.67,8.9,31.81
tomato,5,Vermiculture,21.18,5.6,3.01
tomato,10,Vermiculture,20.93,5.6,5.26
tomato,15,Vermiculture,21.55,5.0,9.19
tomato,20,Vermiculture,21.82,5.7,12.34
tomato,25,Vermiculture,21.56,5.4,15.97
tomato,30,Vermiculture,22.03,5.1,20.15
tomato,35,Vermiculture,22.84,5.1,23.45
tomato,40,Vermiculture,21.19,5.2,21.09
papaya,5,Composting,25.94,14.5,3.71
papaya,10,Composting,25.08,13.6,6.73
papaya,15,Composting,24.69,13.4,10.23
papaya,20,Composting,24.06,14.9,12.97
papaya,25,Composting,25.11,13.7,15.38
papaya,30,Composting,25.13,14.7,17.13
papaya,35,Composting,25.97,13.3,21.29
papaya,40,Composting,24.45,14.1,24.1
papaya,5,Vermiculture,24.67,9.3,2.64
papaya,10,Vermiculture,24.22,9.1,5.45
papaya,15,Vermiculture,24.44,9.3,8.66
papaya,20,Vermiculture,23.94,9.9,10.84
papaya,25,Vermiculture,24.02,9.7,14.65
papaya,30,Vermiculture,26.04,9.7,14.39
papaya,35,Vermiculture,26.11,8.8,19.86
papaya,40,Vermiculture,25.1,10.3,24.94
plum,5,Composting,27.9,11.1,3.29
plum,10,Composting,28.57,9.8,6.71
plum,15,Composting,28.95,11.5,9.96
plum,20,Composting,29.33,9.6,13.79
plum,25,Composting,27.54,10.3,13.37
plum,30,Composting,29.17,10.6,16.57
plum,35,Composting,27.36,11.1,20.25
plum,40,Composting,28.71,10.9,24.88
plum,5,Vermiculture,27.01,7.4,2.95
plum,10,Vermiculture,26.85,7.0,5.6
plum,15,Vermiculture,29.28,6.8,8.71
plum,20,Vermiculture,29.08,6.8,10.72
plum,25,Vermiculture,28.86,6.9,13.81
plum,30,Vermiculture,28.39,7.6,14.21
plum,35,Vermiculture,28.24,6.8,16.78
plum,40,Vermiculture,26.78,8.0,18.75
banana,5,Composting,30.89,10.6,3.22
banana,10,Composting,29.15,11.4,7.08
banana,15,Composting,31.25,10.4,10.13
banana,20,Composting,29.8,10.1,12.35
banana,25,Composting,30.37,10.4,14.45
banana,30,Composting,29.77,10.4,20.48
banana,35,Composting,29.71,11.2,21.3
banana,40,Composting,31.47,10.7,24.75
banana,5,Vermiculture,30.16,6.9,2.49
banana,10,Vermiculture,29.21,6.6,5.45
banana,15,Vermiculture,30.88,6.1,8.88
banana,20,Vermiculture,31.36,6.0,11.03
banana,25,Vermiculture,31.04,6.0,15.56
banana,30,Vermiculture,31.15,6.1,14.49
banana,35,Vermiculture,28.69,5.9,19.27
banana,40,Vermiculture,30.02,5.8,21.94
apple,5,Composting,28.36,12.8,3.17
apple,10,Composting,27.82,13.1,6.83
apple,15,Composting,28.29,11.5,8.15
apple,20,Composting,27.11,12.0,13.14
apple,25,Composting,27.42,11.9,15.78
apple,30,Composting,28.57,13.5,19.49
apple,35,Composting,27.26,13.5,17.95
apple,40,Composting,27.95,11.7,21.22
apple,5,Vermiculture,26.75,8.3,2.86
apple,10,Vermiculture,28.27,8.4,5.42
apple,15,Vermiculture,28.61,8.7,7.27
apple,20,Vermiculture,28.12,8.0,9.71
apple,25,Vermiculture,29.09,8.2,11.88
apple,30,Vermiculture,28.93,8.4,16.15
apple,35,Vermiculture,27.3,7.8,15.17
apple,40,Vermiculture,29.14,8.4,20.08
litchi,5,Composting,24.88,14.5,3.0
litchi,10,Composting,25.75,14.1,6.18
litchi,15,Composting,25.7,13.7,8.8
litchi,20,Composting,24.2,15.0,13.94
litchi,25,Composting,24.54,14.6,15.97
litchi,30,Composting,25.96,14.9,16.13
litchi,35,Composting,26.03,13.4,19.34
litchi,40,Composting,25.48,14.5,27.39
